tag,content,cleaned
p,Student Login,student login
a,Forgot eMail Id?,forgot email id?
a,Forgot password?,forgot password?
a,How to Create Student Account,how to create student account
a,Create an New Student Account,create an new student account
a,Faculty Login here,faculty login here
label,Enter Reg.No.,enter reg.no.
label,Enter Password,enter password
body,"×
 I Year students are informed to submit their profiles. No need Registration required, direct Login to Reg. No. & password. After Login change your password.

Student Login

Enter Reg.No.
Forgot eMail Id?
Enter Password
Forgot password?
Clear
Sign In


How to Create Student Account
Create an New Student Account
Faculty Login here
for any issues contact : Examination Section","i year students are informed to submit their profiles. no need registration required, direct login to reg. no.  password. after login change your password. student login enter reg.no. forgot email id? enter password forgot password? clear sign in how to create student account create an new student account faculty login here for any issues contact  examination section"
title,Login - Smart Campus,login - smart campus
